GAP
5.609475532	4.745918085	4.306190426	4.887194681
4.993502128	4.117517021	3.766908511	4.292642553
4.578464894	3.797000000	3.527830851	3.967765248
4.313554255	3.711200000	3.405397872	3.810050709
4.196251064	3.543297872	3.259969149	3.666506028
3.696219149	3.244827660	3.087645745	3.342897518
4.564577837	3.859960106	3.558990426	

TIME
0.460106383	0.923723404	1.420638298	0.934822695
0.885212766	1.774361702	2.724255319	1.794609929
1.292340426	2.670531915	4.04212766	2.668333334
1.707234043	3.515957447	5.332234043	3.518475178
2.145957447	4.372765957	6.626489362	4.381737589
4.196914894	8.625425532	13.08297872	8.635106382
1.781294327	3.64712766	5.538120567	

